name,area,built,renovated,longitude,latitude
Energy Plant,39655.0,1931,2005,-76.93560621,38.985843
Service Building,84030.42,1940,1970,-76.93583014,38.98604212
Ritchie Coliseum,59791.0,1932,1996,-76.93644748,38.98503531
Building 006,17716.77,1957,1970,-76.93451746,38.98580036
Pocomoke Building,30045.91,1946,2013,-76.93711488,38.98295583
Annapolis Hall,22854.6,1988,1970,-76.94006097,38.98224713
Memorial Chapel,26271.59,1953,1970,-76.94087798,38.98415119
Patuxent Building,24568.2,1990,1970,-76.94347676,38.98863683
Building 011,9081.07,1968,1970,-76.93360751,38.986183200000006
Harford Hall,24549.0,1944,1982,-76.94088316,38.98251279
Calvert Hall,35764.0,1913,1984,-76.94230112,38.98292319
Baltimore Hall,21185.0,1920,1986,-76.9421946,38.98224258
Cecil Hall,20096.0,1959,1970,-76.94165468,38.98293746
Motorcycle Storage Building,416.0,1982,1970,-76.93620655,38.98570625
Prince Georges Hall,16099.39,1944,1984,-76.94181151,38.98260243
Kent Hall,17879.14,1944,1984,-76.94183178,38.98326722
Washington Hall,23792.0,1940,1986,-76.94134946,38.98182775
Allegany Hall,40300.0,1955,1986,-76.9414271,38.98156786
Charles Hall,19378.0,1955,1989,-76.94056019,38.98159724
South Campus Dining Hall,133845.0,1974,1989,-76.94368859,38.98305308
Howard Hall,7300.0,1940,1986,-76.94197232,38.98194960000001
Frederick Hall,16576.0,1948,1986,-76.94073788,38.98204309
Talbot Hall,9822.0,1948,1984,-76.94226416,38.98335959
Garrett Hall,17579.0,1948,1984,-76.94268706,38.98325535
Montgomery Hall,59825.0,1955,1989,-76.93932399,38.98201054
Jimenez Hall,65321.41,1962,1970,-76.94457654,38.98681079999999
Mckeldin Library,365865.12,1958,1990,-76.94510851,38.98596243
Plant Sciences Building,178661.36,1996,1970,-76.94134651,38.98876823
Shoemaker Building,25521.38,1932,2010,-76.94275271,38.98393825
Lefrak Hall,118952.58,1928,1978,-76.94370074,38.98368965
Van Munching Hall,290787.36,1992,2011,-76.94726353,38.98307695
Morrill Hall,16276.99,1898,1994,-76.94419656,38.98431213
Tydings Hall,101945.18,1961,1970,-76.94403257,38.98483804
Taliaferro Hall,47870.08,1909,2003,-76.94316195,38.98482168
Skinner Building,67192.35,1917,1992,-76.94185255,38.98485808
Instructional Television Facility,3082.0,1979,1970,-76.93832977,38.98956796
Marie Mount Hall,113267.76,1940,1980,-76.94079834,38.98498498
Woods Hall,24469.98,1948,1970,-76.94185996,38.98515257
Francis Scott Key Hall,52547.51,1932,2003,-76.94307811,38.98508553
Worcester Hall,33541.0,1959,1970,-76.94499237,38.9846399
"Clarence M. Mitchell, Jr. Building",45212.17,1958,1970,-76.9395328,38.98669587
Preinkert Hall,28236.54,1932,1952,-76.94621963,38.98446084
Hvac & Pm Storage Building,527.0,1988,1970,-76.94374307,38.98830244
Animal Care Storage Facility,864.0,1988,1970,-76.93829981,38.99190907
Chincoteague Hall,22563.13,1957,2011,-76.9445483,38.98522666
Anne Arundel Hall,36651.47,1937,1992,-76.94673578,38.98594664
Queen Annes Hall,36263.33,1949,2005,-76.94615003,38.98524063
St. Marys Hall,28770.0,1932,1989,-76.94559438,38.98697235
Somerset Hall,31196.0,1949,1999,-76.94557172,38.98502381
Dorchester Hall,35436.0,1959,1992,-76.94616306,38.98674231
Carroll Hall,26470.17,1955,1970,-76.94560873,38.98398767
Eppley Recreation Center,233420.91,1998,1970,-76.94528695,38.99360849
Wicomico Hall,27684.01,1955,1970,-76.94582188,38.98373372
Caroline Hall,26959.07,1955,1970,-76.94583209,38.98348149
Lee Building,42185.3,1969,1970,-76.93949488,38.98535895
H.j. Patterson Hall,118110.77,1937,2017,-76.94351541,38.98697234
Symons Hall,78248.05,1940,2000,-76.94076836,38.98707978
Main Administration Building,41298.72,1940,1964,-76.93979445,38.9860158
Reckord Armory,78615.0,1944,1970,-76.93894174,38.98602904
Turner Hall,25666.27,1923,1964,-76.93731954,38.98614661
Rossborough Inn,11558.37,1798,1970,-76.93768516,38.98530312
Wind Tunnel Building,31566.58,1950,1970,-76.9368613,38.98988165
John S. Toll Physics Building,230557.8,1953,1968,-76.94008000000002,38.98867731
J.m. Patterson Building,79247.9,1954,1976,-76.94024509999998,38.99050999
William E. Kirwan Hall,138852.05,1954,1982,-76.93920387,38.98863065
Institute For Physical Science & Tech,28534.29,1955,1970,-76.94098774,38.99092385
Central Animal Resources Facility,7162.84,1983,1970,-76.93837727,38.99169655
Martin Hall,158843.45,1950,1985,-76.93798776,38.98889806
Engineering Laboratory Building,85042.54,1950,1970,-76.93796759,38.98929867
Chemical & Nuclear Engineering Building,84877.19,1950,1970,-76.93921644,38.99058501
Chemistry Building,398391.59,1952,2002,-76.93965888,38.98959398
Engineering Annex,10888.46,1957,1969,-76.93694324,38.99071133
Cambridge Hall,55792.0,1962,2016,-76.94303926,38.99171629999999
Cambridge Community Center,40153.97,1962,1963,-76.94304089,38.9922039
Centreville Hall,128198.0,1962,1970,-76.94211076,38.99225105
Bel Air Hall,29090.0,1962,1970,-76.94262314,38.99280739
Agriculture Shed,2321.76,1938,1970,-76.94074554,38.99198557
Animal Science Service Building,1396.83,1940,1970,-76.94109343,38.99200338
Horse Barn,6918.54,1938,1970,-76.94080848,38.99168234
Sheep Barn,6151.96,1938,1970,-76.94146703,38.99167619
Cattle Barn,8064.35,1938,1970,-76.94045945,38.99239946
Physics Welding Shop,974.93,1970,1970,-76.93986153,38.98914088
A.v. Williams Building,236043.76,1988,1992,-76.9365261,38.99077389
Residential Facilities Building 116,1419.47,1987,1970,-76.93270882,38.98344604
Poultry Barn,1026.24,1949,1970,-76.94089889,38.99229501
Chestertown Hall,29090.0,1962,1970,-76.94345911,38.99280774
Cumberland Hall,124486.0,1963,1970,-76.94397454,38.99225327
Grounds Material & Equipment Building,7371.65,1988,1970,-76.94333984,38.995636
House 1,10594.0,1958,1992,-76.93667951,38.98467832
House 2,9144.0,1958,1992,-76.93619403,38.98462653
House 3,9464.0,1954,1991,-76.93562792,38.98462511
House 4,9464.0,1954,1991,-76.93514117,38.98462410000001
House 5,9464.0,1954,1990,-76.93463331,38.98458514
House 6,9464.0,1954,1990,-76.93418659,38.98431152
House 7,9464.0,1954,1990,-76.93404755,38.98394035
House 8,9464.0,1954,1998,-76.93418928,38.98356889
House 9,9464.0,1954,1997,-76.93463834,38.9832972
House 10,9464.0,1954,1997,-76.93514751,38.98326111
House 11,9464.0,1954,1995,-76.93563225,38.98326193
House 12,9464.0,1954,1995,-76.93619935,38.98326374
House 13,10624.0,1962,1993,-76.93669776,38.98326267
House 14,10690.0,1963,1993,-76.93719881,38.98321404
Health Center,55852.33,1964,2004,-76.94466193,38.98719487
Tawes Hall,164610.4,1965,2016,-76.94815327,38.98594742
Animal Sciences/agric. Engrg Bldg,195449.77,1970,1994,-76.93947754,38.9916418
Benjamin Building,112224.83,1966,1968,-76.94738051,38.98669349
Biology-psychology Building,242067.07,1971,1970,-76.94260223,38.98884260000001
Architecture Building,70150.35,1972,1970,-76.94763369,38.98431406
Parren J. Mitchell Art-sociology Building,159309.35,1976,1970,-76.94764622,38.98521433
Hornbake Library,279985.81,1972,1970,-76.94157514,38.98816441
Manufacturing Building,22149.65,1992,1970,-76.93942525,38.99286373
Arboretum Outreach Center,2512.0,1952,1970,-76.94873158,38.99192972
Varsity Sports Teamhouse,22857.04,1974,1978,-76.94518737,38.99005653
Bob 'turtle' Smith Stadium At Shipley Field,2640.26,1954,1970,-76.94456292,38.98884701
Cole Student Activities Building,206645.47,1956,1971,-76.94666871,38.98800195
Stamp Student Union,290173.0,1955,2002,-76.94473508,38.9881255
University House,15133.47,2012,1970,-76.95277175,38.98903508
Golf Course Driv. Range Cont. Bldg.,1131.11,1966,1970,-76.95501064,38.99079006
Golf Course Club House,25771.53,1999,1970,-76.95470394,38.99113487
Golf Course Maintenance Office,864.0,1967,1970,-76.95307899,38.99769058
Boat House,553.75,1964,1970,-76.95436808,38.99433391
House 170,10459.0,1959,2009,-76.93518042,38.981265
House 171,10445.0,1960,2012,-76.93562028,38.98136041
House 172,11712.0,1960,2009,-76.93606209999999,38.98142111
House 173,10273.0,1964,2010,-76.93631546,38.98076642
House 174,10372.0,1963,2010,-76.93588154,38.98065947
House 175,11662.0,1963,2009,-76.93543794,38.98058969
House 176,11833.0,1964,2012,-76.93524849,38.98090079
Union Lane Parking Garage,113509.16,1971,1970,-76.94578615,38.98855585
Mfri Drill Tower,4386.4,1989,1970,-76.92990035,38.98356068
Mfri Structural Firefighting Building,5701.29,1989,1970,-76.92828698,38.98363384
Mfri Fire Extinguisher Training Fac.,1569.17,1990,1970,-76.92778272,38.98405149
Mfri Breath Apparatus Training Bldg,5018.0,2008,1970,-76.92878195,38.98402337
Mfri Office/classroom Building,45792.99,1955,2002,-76.92886068,38.98332918
Leonardtown Office Building,12748.0,1961,1970,-76.93247179,38.98372481
Regents Drive Parking Garage,533481.04,1988,1970,-76.94148049,38.98966674
Residential Facilities Building 204,868.8,1985,1970,-76.93293568,38.9837852
Residential Facilities Building 207,733.3,1969,1970,-76.93284186,38.98367236
Plant Operations & Maint. Storage Bldg.2,504.0,1968,1970,-76.95367084,38.99745408
Plant Operations & Maint. Storage Bldg.1,504.0,1968,1970,-76.95373704,38.99740241
Stadium Drive Parking Garage,280413.39,1997,1970,-76.94868011,38.99109562
Astronomy Lecture Building,2012.0,1979,1970,-76.95563666,39.00202142
Astronomy Trailer,588.0,2000,1970,-76.95601586,39.00183727
Astronomical Observatory,1643.33,1964,1970,-76.95609183,39.00196481
Energy Research Facility,61159.9,1965,1970,-76.93681627,38.99194439
Atlantic Building,240189.19,1963,1996,-76.94246089,38.99100402
Kim Engineering Building,167905.84,2005,1970,-76.93809687,38.99098607
Edward St. John Learning And Teaching Center,208509.95,2017,1970,-76.94174299,38.98708312
Jull Hall,17574.0,1954,1970,-76.94360377,38.99086053
Microbiology Building,88285.39,1939,1988,-76.94338562,38.98811416
Nyumburu Cultural Center,17891.87,1969,1982,-76.94390865,38.98812481
Susquehanna Hall,53478.27,1991,1970,-76.94377603,38.98208755
Geology Building,22761.79,1969,1982,-76.94091065,38.98816089
Leonardtown 238,11448.0,1972,1970,-76.93302246,38.98286810000001
Leonardtown 239,14197.0,1972,1970,-76.93290775,38.98258992
Leonardtown 240,11448.0,1972,1970,-76.93255119999998,38.98269804
Leonardtown 241,7099.0,1972,1970,-76.93228896,38.98256502
Leonardtown 242,11488.0,1972,1970,-76.93204114,38.98271757
Leonardtown 243,5724.0,1972,1970,-76.93207517,38.98294103
Leonardtown 244,15654.0,1982,1970,-76.93377766,38.98481677
Leonardtown 245,15654.0,1982,1970,-76.9333906,38.98459726
Leonardtown 246,15654.0,1982,1970,-76.93355035,38.98430921
Leonardtown 247,15654.0,1982,1970,-76.93310454,38.98424121
Leonardtown 248,15654.0,1982,1970,-76.93342259,38.98393868
Leonardtown 249,10436.0,1982,1970,-76.93322987,38.9836844
Leonardtown Community Center,7280.0,1982,1970,-76.93349748,38.98336142
Denton Area Dining Hall,44064.67,1964,2012,-76.94963748,38.99272983
Denton Hall,115108.0,1964,1970,-76.94997564,38.99224123
Easton Hall,115533.0,1965,1970,-76.95024936,38.99300916
Elkton Hall,114118.0,1966,1970,-76.94900328,38.99248179
School Of Public Health Building,240408.13,1973,2010,-76.94312978,38.99347315
Ellicott Hall,118303.0,1967,1970,-76.94666558,38.99181914
Ellicott Area Dining Hall,48280.12,1967,1999,-76.94660395,38.99246396
Hagerstown Hall,119561.0,1968,1970,-76.94742469,38.99242944
La Plata Hall,132943.0,1969,1970,-76.94590888,38.99244574
North Gate (campus Drive & Route 1),122.2,1985,1970,-76.93650269,38.98857534
Biomolecular Sciences Building,39399.9,1991,1970,-76.93772941,38.99286665
West Gate (perf Arts And Denton On Stadium Dr/193),78.01,1987,1970,-76.95046071,38.99198027
Paint Branch Gate (paint Branch Dr And 193),78.01,2001,1970,-76.94215699,38.99961611
Gate House,332.5,1941,1970,-76.93574876,38.9886455
Indoor Practice Facility,20963.4,2001,1970,-76.95437565,38.98967883
Golf Course Storage Building 1,200.0,1967,1970,-76.95283711,38.9973264
Golf Course Repair Shop,2480.56,1960,1970,-76.95316309,38.99730826
Golf Course Toilet Facility,125.39,1963,1970,-76.95324224,38.99750287
Golf Course Storage Building,979.39,1966,1970,-76.95341111,38.99755893
Grounds Operations & Maintenance Bldg.,3157.0,1988,1970,-76.94292003,38.99553545
Chesapeake Building,52555.32,1991,1970,-76.94213441,38.99823293
Environmental Service Facility,7752.08,1985,1970,-76.94373274,38.9965013
Xfinity Center,484770.05,2002,1970,-76.9412213,38.99548989
Tyser Tower,81504.29,1991,2010,-76.94783785,38.98974624
Maryland Stadium Concessions 1,5544.94,1991,1970,-76.94720259,38.98937719
Maryland Stadium Concessions 2,2662.75,1991,1970,-76.94764798,38.98941564
Maryland Stadium Concessions 3,2704.91,1991,1970,-76.9482105,38.98973145
Maryland Stadium Concessions 4,11192.77,1995,1970,-76.94860522,38.99041497
Maryland Stadium Ticket Booth,250.54,1995,1970,-76.94845676,38.99096952
Maryland Stadium Concessions 5,9158.62,1995,1970,-76.94796496,38.99122005
Maryland Stadium Building (upper Deck),111596.0,1995,1970,-76.94673884,38.99089637
Maryland Stadium Maintenance Building,4253.93,1995,1970,-76.94588252,38.99024985
Maryland Stadium Concessions 6,5283.01,1995,1970,-76.94607706,38.99044767
Gossett Football Team House,63914.02,1992,2002,-76.94638821,38.98975555
Center For Young Children,10644.99,1993,1970,-76.94851481,38.99350239
Neutral Buoyancy Research Facility,14329.84,1992,1970,-76.93897156,38.99288566
Paint Branch Building,38279.51,1993,1970,-76.92918035,38.98195565
Clarice Smith Performing Arts Center,342230.06,2000,1970,-76.95046500000002,38.99063106
Technology Advancement Program Building,33118.63,1998,1970,-76.93861737,38.99249275
Kehoe Track At Ludwig Field,4365.06,1995,1970,-76.95129614,38.98756765
Track & Soccer Field Ticket Booth,128.09,1995,1970,-76.94987751,38.98745836
Sample Preparation Building (paint Branch),912.0,2005,1970,-76.94077463,39.00693631
Turfgrass Research Facility (paint Branch),4500.0,1999,1970,-76.94118901,39.00698737
Equipment Storage Building (paint Branch),7990.64,1999,1970,-76.94038035,39.00694779999999
Agricultural Chemical Storage Building (pt Branch),1500.0,1999,1970,-76.94078377,39.00706810000001
Research Greenhouse,66369.52,2003,1970,-76.9429152,38.99723522
Aquatic Center,5426.02,1998,1970,-76.94649853,38.99338592
South Gate (regents Dr And Route 1),95.83,1998,1970,-76.93887258,38.98238291
Terrapin Trail Parking Garage,373252.78,2001,1970,-76.94334036,38.99502118
Mowatt Lane Parking Garage,502031.27,2003,1970,-76.94556824,38.98183533
Computer Science Instructional Center,38698.95,2002,1970,-76.93616829999998,38.98998889
Maryland Softball Stadium,3724.66,2002,1970,-76.93986797,38.99621292
Bioscience Research Building,141019.44,2007,1970,-76.94298285,38.98905848
Field Hockey And Lacrosse Complex,6195.18,2004,1970,-76.93689759,38.9946983
Physical Sciences Complex,171772.44,2013,1970,-76.94145438,38.99092916
Knight Hall,55861.17,2010,1970,-76.94860641,38.98684725
Oakland Hall,233436.03,2011,1970,-76.94944307,38.9938556
Maryland Baseball Annex,740.29,2006,1970,-76.94549093,38.98990606
Cspac Grounds Storage Facility,917.5,2009,1970,-76.9518655,38.99030706
Grounds Storage Facility,240.0,2009,1970,-76.94635670000002,38.98442159
Shuttle Bus Facility,10946.74,2012,1970,-76.93709373,38.99551349
Prince Frederick Hall,187060.28,2014,1970,-76.9457874,38.98311214
Heavy Equipment Building,7136.18,2012,1970,-76.94284904,38.99601738
Fleet Services Building,864.0,2012,1970,-76.92469631,38.97613925
Wye Oak Building,13520.35,2013,1970,-76.94369681,38.99593858
A. James Clark Hall,182439.94,2017,1970,-76.93773478,38.99197835
Metzerott House (4103),1965.0,1953,1970,-76.93826245,38.99956904
